Star Number,HIP,Vmag,dist (pc),Type, EEID (mas),EEID (AU),HZ inner edge (mas),HZ outer edge (mas),Snow line (mas),IWA (AU),L*/Lsun,Surface Brigthness Spectral Correction Factor,Exozodi Detection Limit at IWA (in zodi),Time to SNR (hours),Exozodi Level measured by LBTI at 11 microns,,,,,
75,53721,5.03,13.80,G0V,93,1.28,88,155,306,2.07,1.633,0.97,519.22,,,,,,,
76,25278,5,14.59,F8V,93,1.35,88,155,305,2.19,1.821,1.00,504.47,,,,,,,
77,97295,5,20.90,F5,91,1.91,87,152,301,3.13,3.641,1.03,491.12,,,,,,,
78,48113,5.08,18.90,G2V,90,1.71,86,151,298,2.84,2.922,0.97,518.53,,,,,,,
79,95447,5.17,14.96,G8IVvar,90,1.35,86,151,298,2.24,1.820,0.90,560.33,,,,,,,
80,88745,5.05,15.74,F7V,90,1.42,86,150,297,2.36,2.012,1.01,500.96,,,,,,,
81,86796,5.12,15.61,G5V,90,1.41,86,150,297,2.34,1.975,0.94,533.77,,,,,,,
82,7981,5.24,7.61,K1V,89,0.68,85,149,295,1.14,0.463,0.86,587.85,,-28 +/- 129,107 Psc,,"For stars 82 to 150, best sensitivity (reached at IWA) is reached  outside of  the HZ outer edge.",,
83,29800,5.04,19.53,F5IV-V,89,1.75,85,149,295,2.93,3.048,1.03,488.34,,,,,,,
84,25110,5.08,20.97,F6V,88,1.85,84,148,292,3.14,3.437,1.02,495.88,,,,,,,
85,97675,5.12,19.53,F8V,88,1.72,83,147,290,2.93,2.946,0.99,507.93,,,,,,,
86,40843,5.13,18.23,F6V,86,1.57,82,144,284,2.73,2.465,1.02,492.77,,,,,,,
87,45333,5.18,19.66,F9V,86,1.69,82,144,284,2.95,2.866,0.98,515.76,,,,,,,
88,104217,6.05,3.49,K7V,85,0.30,81,143,282,0.52,0.089,0.45,1128.43,,,,,,,
89,64792,5.19,17.54,G0Vs,85,1.50,81,142,281,2.63,2.237,0.99,510.55,,,,,,,
90,3909,5.17,15.88,F7IV-V,85,1.35,81,142,280,2.38,1.822,1.01,497.72,,,,,,,
91,15371,5.24,12.05,G1V,84,1.01,79,140,276,1.81,1.015,0.98,514.19,,,,,,,
92,56997,5.31,9.58,G8Vvar,84,0.80,79,140,276,1.44,0.642,0.92,548.39,,,,,,,
93,114622,5.57,6.53,K3Vvar,83,0.55,79,139,275,0.98,0.297,0.73,693.85,,,,,,,
94,32480,5.24,16.65,G0V,83,1.39,79,139,275,2.50,1.922,0.99,509.52,,,,,,,
95,47080,5.4,11.20,G8IV-V,82,0.91,77,136,269,1.68,0.834,0.89,565.72,,,,,,,
96,49081,5.37,14.93,G1V,80,1.19,76,134,264,2.24,1.426,0.95,530.12,,,,,,,
97,80337,5.37,12.91,G3/G5V,79,1.02,75,132,261,1.94,1.045,0.97,519.34,,,,,,,
98,73184,5.72,5.88,K4V,79,0.46,75,132,261,0.88,0.216,0.71,713.47,,,,,,,
99,84862,5.38,14.54,G0V,79,1.15,75,132,260,2.18,1.312,0.97,518.53,,587 +/- 120,72 Her,,,,
100,78459,5.39,17.48,G2V,78,1.37,74,131,258,2.62,1.872,0.97,517.30,,,,,,,
101,12653,5.4,17.33,G3IV,77,1.34,73,129,255,2.60,1.789,0.99,507.62,,,,,,,
102,18859,5.38,18.77,F5V,77,1.45,73,129,255,2.82,2.099,1.01,498.15,,,,,,,
103,58576,5.54,12.70,K0IV,76,0.97,72,127,251,1.90,0.932,0.90,559.78,,,,,,,
104,32439,5.44,18.21,F8V,75,1.37,71,126,248,2.73,1.876,1.01,500.23,,,,,,,
105,89042,5.47,17.75,G0V,75,1.33,71,125,248,2.66,1.776,0.98,511.82,,,,,,,
106,79672,5.49,14.13,G1V,75,1.06,71,125,248,2.12,1.125,0.97,521.05,,,,,,,
107,22263,5.49,13.24,G3V,75,0.99,71,125,247,1.99,0.985,0.97,520.00,,,,,,,
108,8362,5.63,10.04,K0V,74,0.74,70,124,244,1.51,0.552,0.88,575.75,,,,,,,
109,15330,5.53,12.04,G2V,74,0.89,70,123,243,1.81,0.786,0.97,520.40,,,,,,,
110,7978,5.52,17.34,F8V,73,1.26,69,122,241,2.60,1.600,1.00,505.91,,,,,,,
111,99825,5.73,8.80,K3V,73,0.64,69,121,240,1.32,0.410,0.82,610.77,,,,,,,
112,3765,5.74,7.44,K2V,73,0.54,69,121,240,1.12,0.291,0.82,613.61,,,,,,,
113,35136,5.54,16.87,G0V,73,1.22,69,121,239,2.53,1.497,0.99,509.64,,,,,,,
114,107649,5.57,15.56,G2V,72,1.12,68,120,237,2.33,1.251,0.98,514.51,,,,,,,
115,12114,5.79,7.24,K3V,72,0.52,68,120,237,1.09,0.269,0.80,627.58,,-319 +/- 336,GJ 105 A,,,,
116,38908,5.59,16.20,G2V...,71,1.15,67,118,234,2.43,1.317,0.99,509.29,,,,,,,
117,42438,5.63,14.45,G1.5Vb,70,1.01,67,117,232,2.17,1.028,0.97,518.37,,,,,,,
118,105090,6.69,3.97,M1/M2V,70,0.28,67,117,231,0.60,0.077,0.37,1371.76,,,,,,,
119,81300,5.77,9.92,K2V,70,0.69,66,116,230,1.49,0.478,0.87,581.60,,,,,,,
120,75181,5.65,14.69,G2V,70,1.02,66,116,230,2.20,1.047,0.97,520.36,,,,,,,
121,98767,5.73,16.01,G6IV+...,69,1.11,66,116,229,2.40,1.232,0.91,554.39,,,,,,,
122,26394,5.65,18.28,G3IV,69,1.27,66,116,229,2.74,1.603,0.98,514.18,,,,,,,
123,3093,5.88,11.14,K0V,67,0.75,64,112,222,1.67,0.561,0.84,599.04,,,,,,,
124,49908,6.6,4.87,K8V,67,0.33,64,112,222,0.73,0.107,0.43,1161.04,,-185 +/- 134,GJ 380,,,,
